alias,canonical
p,Poor
poor,Poor
fair,Fair
fr,Fair
good,G
g,G
very good,VG
vg,VG
f,F
fine,F
vf,VF
very fine,VF
ef,EF
extremely fine,EF
unc,UNC
uncirculated,UNC
bu,UNC
proof,Proof
