alias,canonical
half-farthing,Half-Farthing
farthing,Farthing
halfpenny,Halfpenny
penny,Penny
twopence,Twopence
tuppence,Twopence
threepence,Threepence
threepenny,Threepence
threepenny bit,Threepence
fourpence,Groat
groat,Groat
sixpence,Sixpence
tanner,Sixpence
shilling,Shilling
bob,Shilling
florin,Florin
halfcrown,Halfcrown
half-crown,Halfcrown
crown,Crown
